"Method","AUC_ROC","AUC_PR"
"Variance",0.976466666666667,0.997909895208707
"Wavelet",0.976188888888889,0.997861416399298
"Spectral",0.963244444444444,0.995083407243391
"FFT",0.960811111111111,0.994740635279897
"Lomb-Scargle",0.944633333333333,0.991126782240872
"STL",0.925833333333333,0.983383671717881
"Autoperiod",0.921511111111111,0.986600604348506
"AIC",0.893766666666667,0.974581640963987
"SSA",0.877033333333333,0.974026801651454
"ACF",0.864522222222222,0.974095426489351
"MatrixProfile",0.774888888888889,0.938960750023634
"CFD",0.663933333333333,0.940644647166672
"SAZED",0.217855555555556,0.945056450173942
